label	addr	ported_namematch	subsystem
GATE_STRAT	$099816	True	ported
DGEN3DVECS	$098272	True	ported
DGENVECS	$098285	True	math_helper
GATE_ISTRAT	$0997d6	True	ported
GATE2_ISTRAT	$0ae8af	True	ported
GATE3_ISTRAT	$0ae80f	True	ported
GATE2_STRAT	$0ae8c8	True	ported
GATE3_STRAT	$0ae82f	True	ported
MAKETOTALSCORE	$02e354	True	map_menu
MAKETOTALSCORE2	$02e4cd	True	map_menu
MAKENUMP	$02e5d0	True	other
MAKENUMT	$02e5cb	True	other
MAKEOBJ_L	$1fd3c1	True	ported
MAKEBG2BLACK_L	$02f352	True	ported
MAKEENDOBJ	$02e668	True	other
MAKESND	$249246	True	ported
MAKEENDOBJN2	$02e6fc	True	other
MAKEENDOBJ2	$02e701	True	other
MAKEENDOBJN	$02e663	True	other
MAKELEXPOBJ_SROU	$06b1d8	True	ported
MAKEFOLEXPOBJ_SROU	$06b205	True	ported
MAKEMEDEXPOBJ_SROU	$06b1e7	True	ported
MAKESMLEXPOBJ_SROU	$06b1f6	True	ported
MAKEEXPOBJ_SROU	$06b214	True	ported
MAKEPOLLEN_SROU_L	$06bcbb	True	ported
MAKEBOSSCIRCEXP_SROU	$06aefe	True	ported
MAKEFIRE_SROU_L	$218e3f	True	ported
MAKEENGINE_SROU_L	$21916f	True	ported
MAKESMOKE_SROU_L	$218eaa	True	ported
MAKESPLASH_SROU_L	$218c33	True	ported
MAKESSPLASH_SROU_L	$218c1c	True	ported
MAKEESCAPEE_ICONT	$06b494	True	ported
MAKELEFTEYEEXP_SROU	$07f1e2	True	ported
MAKERIGHTEYEEXP_SROU	$07f2e5	True	ported
KAMI_CONT	$08c349	True	ported
KAMI_ISTRAT	$08c2a5	True	ported
KAMIDIE_ISTRAT	$08c352	True	ported
KAMIGO_STRAT	$08c3d0	True	ported
KAMIGO_INIT	$08c3bf	True	ported
KAMI_STRAT	$08c2e5	True	ported
KAMIDIE_STRAT	$08c367	True	ported
MAKESDRAG_SROU	$0acd44	True	ported
MAKEALLMEDPSPEED	$0bd319	True	ported
HARD_ISTRAT	$21859b	True	ported
HARD180YRNZR_ISTRAT	$2185b1	True	ported
HARDENEMY1_ISTRAT	$218595	True	ported
HARDROT_STRAT	$218616	True	ported
